256,256,256,2.8432,0.0596,4.5419,0.0728,7.5175
512,512,256,11.5733,0.1337,10.367,0.1729,22.2469
1024,1024,256,52.4415,0.4279,41.0075,0.4917,94.3686
2048,2048,256,204.467,1.5179,160.418,1.5612,367.964
4096,4096,4096,770.441,4.895,0.1952,5.6265,781.158
8192,8192,4096,3108.17,18.8031,0.1741,23.0734,3150.22
16384,16384,4096,12304.1,163.986,0.1313,164.81,12633.1
16384,16000,10,12250.3,160.084,38449.2,85.5297,50945.2
16384,16000,20,13312.7,160.5,21488.7,87.6002,35049.5
16384,16000,30,13413.4,159.879,14933.5,88.9077,28595.6
16384,16000,60,14602.3,160.089,9612.69,104.674,24479.8
16384,16000,120,14018,195.725,9424.98,90.0385,23728.7
16384,16000,250,13096.9,153.277,9394.93,84.2864,22729.4
16384,16000,500,12982.4,160.221,10868.1,87.3808,24098.1
16384,16000,1000,12993.4,159.824,13354.9,86.3276,26594.5
16384,16000,2000,13095,159.978,0.1469,143.353,13398.5
16384,16000,4000,12699.5,159.865,0.1314,111.757,12971.3
16384,16000,8100,12348.1,159.76,0.13,160.972,12669
16300,16000,16384,12117.3,159.192,0.1351,115.616,12392.3
16384,16000,16000,11768.7,160.922,0.1349,100.518,12030.3,0
16384,16000,16384,11705.2,156.164,0.1292,82.776,11944.2,0
16384,16000,16384,11644.4,161.01,0.1344,79.4096,11884.9,0
